PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,FAU,AU,AUID,AD,LA,PT,PL,TA,JT,JID,SB,MH,PMC,MID,COIS,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,OTO,OT,GR,DEP,RN,CTDT,PB,BTI,CI,CN,TT,CON,CIN,SI,UOF,UIN,OID,PS,FPS,RF,EIN,PMCR
25076368,NLM,MEDLINE,20150406,20191210,1678-2925 (Electronic) 0004-2749 (Linking),77,1,2014 Jan-Feb,Translation and validation of Convergence Insufficiency Symptom Survey (CISS) to Portuguese - psychometric results.,21-4,S0004-27492014000100021 [pii],"['Tavares, Catarina', 'Nunes, Amelia Maria Monteiro Fernandes', 'Nunes, Antonio Joao Santos', 'Pato, Maria Vaz', 'Monteiro, Pedro Miguel Lourenco']","['Tavares C', 'Nunes AM', 'Nunes AJ', 'Pato MV', 'Monteiro PM']",,"['Health Sciences Faculty, University of Beira Interior, Covilha, Portugal.', 'Department of Physics, University of Beira Interior, Covilha, Portugal.', 'Research Center, Management and Economics Department, University of Beira Interior, Covilha, Portugal.', 'Health Science Research Centre, FCS, UBI, Portugal.', 'Department of Physics, University of Beira Interior, Covilha, Portugal.']",['eng'],"['Journal Article', 'Validation Study']",Brazil,Arq Bras Oftalmol,Arquivos brasileiros de oftalmologia,0400645,IM,"['Adolescent', 'Adult', 'Asthenopia/*diagnosis', 'Brazil', 'Cross-Cultural Comparison', 'Female', 'Humans', 'Language', 'Male', 'Ocular Motility Disorders/*diagnosis', 'Psychometrics', 'Reproducibility of Results', '*Surveys and Questionnaires', '*Translations', 'Young Adult']",,,,2014/07/31 06:00,2015/04/07 06:00,['2014/07/31 06:00'],"['2013/08/02 00:00 [received]', '2013/08/25 00:00 [accepted]', '2014/07/31 06:00 [entrez]', '2014/07/31 06:00 [pubmed]', '2015/04/07 06:00 [medline]']","['S0004-27492014000100021 [pii]', '10.5935/0004-2749.20140007 [doi]']",ppublish,Arq Bras Oftalmol. 2014 Jan-Feb;77(1):21-4. doi: 10.5935/0004-2749.20140007.,"PURPOSE: Translate and adapt the Convergence Insuficiency Symptom Survey (CISS) questionnaire to the Portuguese language and culture and assess the psychometric properties of the translated questionnaire (CISSvp). METHODS: The CISS questionnaire was adapted according to the methodology recommended by some authors. The process involved two translations and back-translations performed by independent evaluators, evaluation of these versions, preparation of a synthesis version and its pre-test. The final version (CISSvp) was applied in 70 patients (21.79 +/- 2.42 years) students in higher education, and at two different times, by two observers, to assess its reliability. RESULTS: The results showed good internal consistency of the CISSvp (Cronbach's alpha - alpha=0.893). The test re-test revealed an average of the differences between the first and second evaluation of 0.75 points (SD +/- 3.53), which indicates a minimum bias between the two administrations. The interrater reliability assessed by intraclass correlation coefficient ranged from 0.880 to 0.952, revealing that the CISSvp represents an appropriate tool for measuring the visual discomfort associated with near vision tasks with a high level of reproducibility. CONCLUSIONS: The CISS Portuguese version, showed good psychometric properties and has been sown to be applicable to the Portuguese population, to quantify the visual discomfort associated with near vision, in higher education students.",,,,,,,,,,,,,,,,,,,,,,
25035340,NLM,MEDLINE,20160527,20171116,1875-9270 (Electronic) 1051-9815 (Linking),48,4,2014,Effectiveness of computerized risk assessment system on enhancing workers' occupational health and attitudes towards occupational health.,471-84,10.3233/WOR-141916 [doi],"['Ho, Wan-Yi', 'Sung, Connie Y Y', 'Yu, Qiu-Hua', 'Chan, Chetwyn C H']","['Ho WY', 'Sung CY', 'Yu QH', 'Chan CC']",,"['Department of Rehabilitation Sciences, Ergonomics and Human Performance Laboratory, The Hong Kong Polytechnic University, Hong Kong, China.', 'Department of Counseling, Educational Psychology and Special Education, College of Education, Michigan State University, East Lansing, MI, USA.', 'Department of Rehabilitation Sciences, Ergonomics and Human Performance Laboratory, The Hong Kong Polytechnic University, Hong Kong, China.', 'Department of Rehabilitation Sciences, Ergonomics and Human Performance Laboratory, The Hong Kong Polytechnic University, Hong Kong, China.']",['eng'],"['Journal Article', 'Randomized Controlled Trial']",Netherlands,Work,"Work (Reading, Mass.)",9204382,IM,"['Adult', 'Asthenopia/prevention & control', '*Attitude to Health', 'Consumer Behavior', 'Ergonomics/methods', 'Fatigue/prevention & control', 'Female', '*Health Behavior', 'Humans', 'Male', 'Microcomputers', 'Middle Aged', 'Musculoskeletal Pain/prevention & control', '*Occupational Health', 'Rest', 'Risk Assessment/methods', 'Young Adult']",,,,2014/07/19 06:00,2016/05/28 06:00,['2014/07/19 06:00'],"['2014/07/19 06:00 [entrez]', '2014/07/19 06:00 [pubmed]', '2016/05/28 06:00 [medline]']","['H3NN8QG0250K415G [pii]', '10.3233/WOR-141916 [doi]']",ppublish,Work. 2014;48(4):471-84. doi: 10.3233/WOR-141916.,"BACKGROUND: Efforts have been paid to lower the health risks associated with use of computers at the workplace. Computerized risk assessment systems are available in the market for adoption by companies. OBJECTIVES: The Display Screen Equipment Risk Assessment and Management System was designed for conducting risk assessment and providing intelligent-driven solutions for DSE-related occupational health problems. This report summarizes two consecutive research work conducted on evaluating its effect in reducing body discomfort and mental fatigue, and enhancing sedentary workers' occupational health. METHODS: Convenience sampling was adopted to recruit participants (111 participants for Study 1 and 75 participants for Study 2 who were randomly assigned to an immediate or a delayed intervention group. The intervention was using DSE RAM System to perform a risk assessment followed by an immediate modification of participant's workstation based on the recommendations generated by the System. Face to face interview was conducted and participants completed three sets of questionnaires right before the assessment and two weeks after the intervention. RESULTS: The results of Study 1 revealed that the DSE RAM System was effective for alleviating the discomfort and fatigue levels by rectifying the workstation-worker match. These mismatches were identified to be the heights of monitor, keyboard and chair with the workers. The results of Study 2 indicate that the System was specific for promoting participants to take more frequent rest breaks (OR: 3.65) and pay more attention to occupational safety and health information (OR: 3.90). In particular, the take frequent rest breaks behavior was found to predict decrease in discomfort in the eyes and mental fatigue (lack of energy). Nevertheless, there was no strong evidence on the use of the System can lead to immediate attitudinal changes towards occupational health and safety. CONCLUSION: The findings support the notion that workers' participation and integration of ergonomics into the management are important for successful implementation of occupational health programs. Together with educational and skill training sessions on occupational health at the workplace, the DSE RAM System offers a venue for implementing participatory ergonomics at the workplace.",['NOTNLM'],"['DSE RAM system', 'effectiveness', 'ergonomics', 'occupational health']",,,,,,,,,,,,,,,,,,,,
24984425,NLM,MEDLINE,20140729,20140702,0362-4064 (Print) 0362-4064 (Linking),83,5,2014 May,Choosing the best protective eyewear.,50-1,,"['Myrick, Mike']",['Myrick M'],,,['eng'],['Journal Article'],United States,Occup Health Saf,"Occupational health & safety (Waco, Tex.)",7610574,IM,"['Asthenopia/prevention & control', 'Equipment Design', '*Eye Protective Devices', 'Humans']",,,,2014/07/06 06:00,2014/07/30 06:00,['2014/07/03 06:00'],"['2014/07/03 06:00 [entrez]', '2014/07/06 06:00 [pubmed]', '2014/07/30 06:00 [medline]']",,ppublish,Occup Health Saf. 2014 May;83(5):50-1.,,,,,,,,,,,,,,,,,,,,,,,
24952143,NLM,MEDLINE,20150923,20151119,1896-494X (Electronic) 1232-1087 (Linking),27,3,2014 Jun,Evaluation of discomfort glare in the 50+ elderly: experimental study.,444-59,10.2478/s13382-014-0257-9 [doi],"['Wolska, Agnieszka', 'Sawicki, Dariusz']","['Wolska A', 'Sawicki D']",,"['Department of Safety Engineering, Laboratory of Optical Radiation, Central Institute for Labour Protection - National Research Institute (CIOP-PIB), Warszawa, Poland.']",['eng'],['Journal Article'],Poland,Int J Occup Med Environ Health,International journal of occupational medicine and environmental health,9437093,IM,"['Adult', 'Aged', 'Asthenopia/*etiology', 'Computer Terminals', 'Contrast Sensitivity', 'Female', 'Glare/*adverse effects', 'Humans', 'Lighting/adverse effects', 'Male', 'Middle Aged', 'Surveys and Questionnaires', '*Task Performance and Analysis', 'Young Adult']",,,,2014/06/22 06:00,2015/09/24 06:00,['2014/06/22 06:00'],"['2013/10/10 00:00 [received]', '2014/02/05 00:00 [accepted]', '2014/06/22 06:00 [entrez]', '2014/06/22 06:00 [pubmed]', '2015/09/24 06:00 [medline]']",['10.2478/s13382-014-0257-9 [doi]'],ppublish,Int J Occup Med Environ Health. 2014 Jun;27(3):444-59. doi: 10.2478/s13382-014-0257-9. Epub 2014 Jun 21.,"OBJECTIVES: The aim of the study was to analyze discomfort glare sensation in subjects aged 50 years and more in comparison with younger subjects (i.e. younger than 35 years of age). MATERIAL AND METHODS: The experiments were performed on a computer workstation placed in controlled lighting environment where 2 discomfort glare conditions were modeled. Each participant performed for about 1 h specially designed visual tasks, including the tests with Landolt's rings presented on the screen by a computer program. The glare evaluation method consisted of subjective evaluation of discomfort glare on the semantic glare rating scale, tests of mesopic contrast and glare sensitivity, subjective assessment of lighting quality and asthenopic symptoms. The time needed to perform the task and the number of mistakes were also recorded. The subjective evaluation of glare was compared with the Unified Glare Rating (UGR) index calculated by the DIALux simulation program. RESULTS: A higher percentage of the younger group subjects assessed glare after the experimental session as uncomfortable and intolerable than in the 50+ group, who more often assessed glare as acceptable. The assessment of discomfort glare in the younger group corresponded to higher UGR value compared to UGR value calculated by DIALux. In the 50+ group, such correlation was found only for lower discomfort glare (UGR = 19). The results showed that younger participants more frequently suffered from visual fatigue and assessed lighting as less comfortable. However, the mesopic glare sensitivity increased significantly after the experiments only in the 50+ group under both glare conditions. CONCLUSIONS: The obtained results showed that discomfort glare sensation changes with age. The younger population seems to be more sensitive and demanding than the older one in relation to discomfort glare limiting, in spite of the lack of significant objective measures of fatigue. The exposure of the elderly to bigger discomfort glare could adversely affect the objective measures of fatigue like mesopic glare sensitivity and visual performance.",,,,20140621,,,,,,,,,,,,,,,,,,
24939117,NLM,MEDLINE,20161216,20171116,1875-9270 (Electronic) 1051-9815 (Linking),51,3,2015,Adjustable task lighting: Field study assesses the benefits in an office environment.,471-81,10.3233/WOR-141879 [doi],"['Joines, Sharon', 'James, Tamara', 'Liu, Siwen', 'Wang, Wenjiao', 'Dunn, Rebecca', 'Cohen, Shane']","['Joines S', 'James T', 'Liu S', 'Wang W', 'Dunn R', 'Cohen S']",,"['Industrial Design, College of Design, North Carolina State University, Raleigh, NC, USA.', 'Ergonomics Division, Occupational & Environmental Safety, Duke University, Durham, NC, USA.', 'Industrial Design, College of Design, North Carolina State University, Raleigh, NC, USA.', 'Industrial Design, College of Design, North Carolina State University, Raleigh, NC, USA.', 'Ergonomics Division, Occupational & Environmental Safety, Duke University, Durham, NC, USA.', 'Bosco Perry Design, LLC, Potomac, MD, USA.']",['eng'],"['Journal Article', 'Randomized Controlled Trial']",Netherlands,Work,"Work (Reading, Mass.)",9204382,IM,"['Adult', 'Asthenopia/etiology', 'Attitude', 'Conservation of Energy Resources', 'Ergonomics', 'Female', 'Humans', 'Lighting/adverse effects/instrumentation/*methods', 'Male', 'Middle Aged', 'Musculoskeletal Pain/etiology', 'Posture', '*Workplace', 'Young Adult']",,,,2014/06/19 06:00,2016/12/17 06:00,['2014/06/19 06:00'],"['2014/06/19 06:00 [entrez]', '2014/06/19 06:00 [pubmed]', '2016/12/17 06:00 [medline]']","['F25W3LTU368JM403 [pii]', '10.3233/WOR-141879 [doi]']",ppublish,Work. 2015;51(3):471-81. doi: 10.3233/WOR-141879.,"BACKGROUND: Lighting is a part of every work task in the office environment, yet it is often overlooked. Research links direct and indirect glare to increased risk of visual discomfort among office workers with symptoms ranging from dry eyes to blurry vision or headaches. Researchers have been primarily concerned with those characteristics of task lighting that cause glare including luminance level, position (line of sight), and control. It is unknown what the benefits of adjustable task lights are and whether or not their use has an effect on musculoskeletal comfort or posture. No comprehensive field evaluations of this type were found among peer-reviewed, indexed journals. OBJECTIVE: The purpose of this study was to assess the ergonomic and calculated utility power consumption benefits of adjustable LED task lighting in an office environment using a control/intervention experiment design. METHODS: One hundred participants were originally recruited and randomly assigned to intervention and control groups. Self-reported data was collected on level of eye fatigue, perception of job content, intervention usability, and musculoskeletal discomfort. Data was also collected on workspace level of illumination and posture during standardized tasks (assessed using RULA). RESULTS: Comparing baseline data to follow-up data for the intervention group, the use of the adjustable, LED task lights provided statistically significant, positive impacts on users' rating of discomfort, eye fatigue, perception of job content, and posture between baseline and the short-term follow up. CONCLUSIONS: Significant benefits to musculoskeletal comfort, posture, and visual comfort were documented when participants used the adjustable task lights. Participants' assessments of the light's usability, usefulness and desirability were positive. There were no negative results found with adjustable task light use.",['NOTNLM'],"['Musculoskeletal', 'discomfort', 'posture', 'usability', 'vision']",,,,,,,,,,,,,,,,,,,,
24938516,NLM,MEDLINE,20140926,20220408,1552-5783 (Electronic) 0146-0404 (Linking),55,7,2014 Jun 17,The Computer-Vision Symptom Scale (CVSS17): development and initial validation.,4504-11,10.1167/iovs.13-13818 [doi],"['Gonzalez-Perez, Mariano', 'Susi, Rosario', 'Antona, Beatriz', 'Barrio, Ana', 'Gonzalez, Enrique']","['Gonzalez-Perez M', 'Susi R', 'Antona B', 'Barrio A', 'Gonzalez E']",,"['Faculty of Optics and Optometry, Universidad Complutense de Madrid, Madrid, Spain.', 'Faculty of Statistical Studies, Universidad Complutense de Madrid, Madrid, Spain.', 'Faculty of Optics and Optometry, Universidad Complutense de Madrid, Madrid, Spain.', 'Faculty of Optics and Optometry, Universidad Complutense de Madrid, Madrid, Spain.', 'Faculty of Optics and Optometry, Universidad Complutense de Madrid, Madrid, Spain.']",['eng'],"['Journal Article', 'Validation Study']",United States,Invest Ophthalmol Vis Sci,Investigative ophthalmology & visual science,7703701,IM,"['Adolescent', 'Adult', 'Aged', 'Asthenopia/diagnosis', '*Computer Terminals', '*Disability Evaluation', 'Dry Eye Syndromes/diagnosis', 'Eye Diseases/*diagnosis', 'Female', 'Health Status', 'Humans', 'Language', 'Male', 'Middle Aged', 'Models, Statistical', 'Psychometrics', 'Quality of Life', 'Reproducibility of Results', '*Sickness Impact Profile', '*Surveys and Questionnaires', 'Young Adult']",,,,2014/06/19 06:00,2014/09/27 06:00,['2014/06/19 06:00'],"['2014/06/19 06:00 [entrez]', '2014/06/19 06:00 [pubmed]', '2014/09/27 06:00 [medline]']","['iovs.13-13818 [pii]', '10.1167/iovs.13-13818 [doi]']",epublish,Invest Ophthalmol Vis Sci. 2014 Jun 17;55(7):4504-11. doi: 10.1167/iovs.13-13818.,"PURPOSE: To develop a questionnaire (in Spanish) to measure computer-related visual and ocular symptoms (CRVOS). METHODS: A pilot questionnaire was created by consulting the literature, clinicians, and video display terminal (VDT) workers. The replies of 636 subjects completing the questionnaire were assessed using the Rasch model and conventional statistics to generate a new scale, designated the Computer-Vision Symptom Scale (CVSS17). Validity and reliability were determined by Rasch fit statistics, principal components analysis (PCA), person separation, differential item functioning (DIF), and item-person targeting. To assess construct validity, the CVSS17 was correlated with a Rasch-based visual discomfort scale (VDS) in 163 VDT workers, this group completed the CVSS17 twice in order to assess test-retest reliability (two-way single-measure intraclass correlation coefficient [ICC] and their 95% confidence intervals, and the coefficient of repeatability [COR]). RESULTS: The CVSS17 contains 17 items exploring 15 different symptoms. These items showed good reliability and internal consistency (mean square infit and outfit 0.88-1.17, eigenvalue for the first residual PCA component 1.37, person separation 2.85, and no DIF). Pearson's correlation with VDS scores was 0.60 (P < 0.001). Intraclass correlation coefficient for test-retest reliability was 0.849 (95% confidence interval [CI], 0.800-0.887), and COR was 8.14. CONCLUSIONS: The Rasch-based linear-scale CVSS17 emerged as a useful tool to quantify CRVOS in computer workers. : Spanish Abstract.",['NOTNLM'],"['VDT', 'asthenopia', 'computer', 'questionnaire', 'scale']",,20140617,,,,,"['Copyright 2014 The Association for Research in Vision and Ophthalmology, Inc.']",,,,,,,,,,,,,
24914860,NLM,MEDLINE,20140725,20220310,2173-9110 (Electronic) 1135-5727 (Linking),88,2,2014 Mar-Apr,[Ocular and visual alterations in computer workers contact lens wearers: scoping review].,203-15,S1135-57272014000200004 [pii] 10.4321/S1135-57272014000200004 [doi],"['Tauste Frances, Ana', 'Ronda-Perez, Elena', 'Segui Crespo, Maria del Mar']","['Tauste Frances A', 'Ronda-Perez E', 'Segui Crespo Mdel M']",,,['spa'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",Spain,Rev Esp Salud Publica,Revista espanola de salud publica,9600212,IM,"['Asthenopia/*epidemiology/etiology', '*Contact Lenses/adverse effects/statistics & numerical data', 'Dry Eye Syndromes/*epidemiology/etiology', 'Eye Diseases/epidemiology/etiology', 'Female', 'Humans', 'Male', 'Occupational Diseases/*epidemiology/etiology', 'Prevalence', 'Risk Factors', '*User-Computer Interface', 'Vision Disorders/epidemiology/etiology']",,,,2014/06/11 06:00,2014/07/26 06:00,['2014/06/11 06:00'],"['2014/06/11 06:00 [entrez]', '2014/06/11 06:00 [pubmed]', '2014/07/26 06:00 [medline]']","['S1135-57272014000200004 [pii]', '10.4321/S1135-57272014000200004 [doi]']",ppublish,Rev Esp Salud Publica. 2014 Mar-Apr;88(2):203-15. doi: 10.4321/S1135-57272014000200004.,"BACKGROUND: The high number of computer workers wearing contact lenses raises the question whether the sum of these two risk factors for eye health may cause a worsening of Computer Vision Syndrome. The aim of this review is to synthesize the knowledge about ocular and visual alterations related with computer use in contact lens wearers. METHODS: International review of scientific papers (2003-2013) in Spanish and English, using Scoping Review method, in Medline through PubMed and in Scopus. RESULTS: The initial search provided 114 references, after applying inclusion/exclusion criteria six of them were included. All of them reveal that symptoms when using computer are more prevalent in contact lens wearers, with values of symptoms presentation prevalence ranging from 95.0% to 16.9% in wearers and from 57.5% to 9.9% in non-wearers, and four times more likely to develop dry eye [OR: 4.07 (95% CI: 3.52 to 4.71)]. CONCLUSION: Computer workers suffer more ocular and visual disturbances if they also are contact lens users, but studies are few and non conclusive. Likewise, further research regarding contact lens type and their conditions of use, both in symptoms and tear quality and ocular surface are needed. Silicone hydrogel lenses are associated with more comfort.",,,,,,,,,,,Alteraciones oculares y visuales en personas que trabajan con ordenador y son usuarias de lentes de contacto: una revision bibliografica.,,,,,,,,,,,
24874550,NLM,MEDLINE,20160211,20211021,1366-5847 (Electronic) 0014-0139 (Print) 0014-0139 (Linking),57,8,2014,User experience while viewing stereoscopic 3D television.,1140-53,10.1080/00140139.2014.914581 [doi],"['Read, Jenny C A', 'Bohr, Iwo']","['Read JC', 'Bohr I']",,"['a Institute of Neuroscience, Newcastle University , Newcastle upon Tyne NE2 4HH , UK.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Ergonomics,Ergonomics,0373220,IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Asthenopia/etiology', 'Child', 'Child, Preschool', 'Consumer Behavior', 'Depth Perception', 'Female', 'Headache/etiology', 'Humans', 'Imaging, Three-Dimensional/*adverse effects/instrumentation', 'Male', 'Middle Aged', 'Nocebo Effect', 'Sex Factors', '*Television/instrumentation', 'Young Adult']",PMC4118898,,,2014/05/31 06:00,2016/02/13 06:00,['2014/05/31 06:00'],"['2014/05/31 06:00 [entrez]', '2014/05/31 06:00 [pubmed]', '2016/02/13 06:00 [medline]']",['10.1080/00140139.2014.914581 [doi]'],ppublish,Ergonomics. 2014;57(8):1140-53. doi: 10.1080/00140139.2014.914581. Epub 2014 May 30.,"3D display technologies have been linked to visual discomfort and fatigue. In a lab-based study with a between-subjects design, 433 viewers aged from 4 to 82 years watched the same movie in either 2D or stereo 3D (S3D), and subjectively reported on a range of aspects of their viewing experience. Our results suggest that a minority of viewers, around 14%, experience adverse effects due to viewing S3D, mainly headache and eyestrain. A control experiment where participants viewed 2D content through 3D glasses suggests that around 8% may report adverse effects which are not due directly to viewing S3D, but instead are due to the glasses or to negative preconceptions about S3D (the 'nocebo effect'). Women were slightly more likely than men to report adverse effects with S3D. We could not detect any link between pre-existing eye conditions or low stereoacuity and the likelihood of experiencing adverse effects with S3D.",['NOTNLM'],"['3D television', 'binocular vision', 'eyestrain', 'stereo vision', 'stereoscopic displays', 'visual fatigue']",,20140530,,,,,,,,,,,,,,,,,,
24861146,NLM,MEDLINE,20150306,20220309,1365-2869 (Electronic) 0962-1105 (Linking),23,5,2014 Oct,Sleep-related eye symptoms and their potential for identifying driver sleepiness.,568-75,10.1111/jsr.12163 [doi],"['Filtness, Ashleigh J', 'Anund, Anna', 'Fors, Carina', 'Ahlstrom, Christer', 'Akerstedt, Torbjorn', 'Kecklund, Goran']","['Filtness AJ', 'Anund A', 'Fors C', 'Ahlstrom C', 'Akerstedt T', 'Kecklund G']",,"['Centre for Accident Research and Road Safety - Queensland (CARRS-Q), Queensland University of Technology, Kelvin Grove, Qld, Australia.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,J Sleep Res,Journal of sleep research,9214441,IM,"['Adult', 'Asthenopia/physiopathology', 'Automobile Driving/*psychology', 'Computer Simulation', 'Darkness', 'Dry Eye Syndromes/physiopathology', 'Eye/*physiopathology', 'Eyelids/physiopathology', 'Female', 'Fixation, Ocular/physiology', 'Humans', 'Male', 'Sleep Stages/*physiology', 'Sweden', 'User-Computer Interface']",,,,2014/05/28 06:00,2015/03/07 06:00,['2014/05/28 06:00'],"['2013/11/07 00:00 [received]', '2014/04/13 00:00 [accepted]', '2014/05/28 06:00 [entrez]', '2014/05/28 06:00 [pubmed]', '2015/03/07 06:00 [medline]']",['10.1111/jsr.12163 [doi]'],ppublish,J Sleep Res. 2014 Oct;23(5):568-75. doi: 10.1111/jsr.12163. Epub 2014 May 26.,"The majority of individuals appear to have insight into their own sleepiness, but there is some evidence that this does not hold true for all, for example treated patients with obstructive sleep apnoea. Identification of sleep-related symptoms may help drivers determine their sleepiness, eye symptoms in particular show promise. Sixteen participants completed four motorway drives on two separate occasions. Drives were completed during daytime and night-time in both a driving simulator and on the real road. Ten eye symptoms were rated at the end of each drive, and compared with driving performance and subjective and objective sleep metrics recorded during driving. 'Eye strain', 'difficulty focusing', 'heavy eyelids' and 'difficulty keeping the eyes open' were identified as the four key sleep-related eye symptoms. Drives resulting in these eye symptoms were more likely to have high subjective sleepiness and more line crossings than drives where similar eye discomfort was not reported. Furthermore, drivers having unintentional line crossings were likely to have 'heavy eyelids' and 'difficulty keeping the eyes open'. Results suggest that drivers struggling to identify sleepiness could be assisted with the advice 'stop driving if you feel sleepy and/or have heavy eyelids or difficulty keeping your eyes open'.",['NOTNLM'],"['Karolinska Sleepiness Scale', 'blinks', 'driver drowsiness', 'fatigue', 'road safety']",,20140526,,,,,['(c) 2014 European Sleep Research Society.'],,,,,,,,,,,,,
24834910,NLM,MEDLINE,20150617,20211021,1424-8220 (Electronic) 1424-8220 (Linking),14,5,2014 May 15,Quantitative measurement of eyestrain on 3D stereoscopic display considering the eye foveation model and edge information.,8577-604,10.3390/s140508577 [doi],"['Heo, Hwan', 'Lee, Won Oh', 'Shin, Kwang Yong', 'Park, Kang Ryoung']","['Heo H', 'Lee WO', 'Shin KY', 'Park KR']",,"['Division of Electronics and Electrical Engineering, Dongguk University, 26 Pil-dong 3-ga, Jung-gu, Seoul 100-715, Korea. gjghks@dgu.edu.', 'Division of Electronics and Electrical Engineering, Dongguk University, 26 Pil-dong 3-ga, Jung-gu, Seoul 100-715, Korea. b215p8@dgu.edu.', 'Division of Electronics and Electrical Engineering, Dongguk University, 26 Pil-dong 3-ga, Jung-gu, Seoul 100-715, Korea. skyandla@dgu.edu.', 'Division of Electronics and Electrical Engineering, Dongguk University, 26 Pil-dong 3-ga, Jung-gu, Seoul 100-715, Korea. parkgr@dgu.edu.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Sensors (Basel),"Sensors (Basel, Switzerland)",101204366,IM,"['Asthenopia/*diagnosis/*physiopathology', 'Diagnostic Techniques, Ophthalmological/instrumentation', 'Equipment Design', 'Equipment Failure Analysis', 'Eye Movements/*physiology', '*Eyeglasses', 'Fixation, Ocular/*physiology', 'Fovea Centralis/*anatomy & histology/*physiology', 'Humans', 'Image Interpretation, Computer-Assisted/instrumentation/methods', 'Imaging, Three-Dimensional/*instrumentation', 'Reproducibility of Results', 'Sensitivity and Specificity', 'Signal Processing, Computer-Assisted/instrumentation', 'Video Recording/instrumentation']",PMC4063008,,,2014/05/20 06:00,2015/06/18 06:00,['2014/05/20 06:00'],"['2014/01/09 00:00 [received]', '2014/04/30 00:00 [revised]', '2014/04/30 00:00 [accepted]', '2014/05/20 06:00 [entrez]', '2014/05/20 06:00 [pubmed]', '2015/06/18 06:00 [medline]']","['s140508577 [pii]', 'sensors-14-08577 [pii]', '10.3390/s140508577 [doi]']",epublish,Sensors (Basel). 2014 May 15;14(5):8577-604. doi: 10.3390/s140508577.,"We propose a new method for measuring the degree of eyestrain on 3D stereoscopic displays using a glasses-type of eye tracking device. Our study is novel in the following four ways: first, the circular area where a user's gaze position exists is defined based on the calculated gaze position and gaze estimation error. Within this circular area, the position where edge strength is maximized can be detected, and we determine this position as the gaze position that has a higher probability of being the correct one. Based on this gaze point, the eye foveation model is defined. Second, we quantitatively evaluate the correlation between the degree of eyestrain and the causal factors of visual fatigue, such as the degree of change of stereoscopic disparity (CSD), stereoscopic disparity (SD), frame cancellation effect (FCE), and edge component (EC) of the 3D stereoscopic display using the eye foveation model. Third, by comparing the eyestrain in conventional 3D video and experimental 3D sample video, we analyze the characteristics of eyestrain according to various factors and types of 3D video. Fourth, by comparing the eyestrain with or without the compensation of eye saccades movement in 3D video, we analyze the characteristics of eyestrain according to the types of eye movements in 3D video. Experimental results show that the degree of CSD causes more eyestrain than other factors.",,,,20140515,,,,,,,,,,,,,,,,,,
24768074,NLM,MEDLINE,20150730,20141202,1558-349X (Electronic) 1546-1440 (Linking),11,11,2014 Nov,Take a screen-free day!,1017-8,S1546-1440(14)00014-3 [pii] 10.1016/j.jacr.2014.01.008 [doi],"['Posteraro, Robert H', 'Bushong, Stewart C']","['Posteraro RH', 'Bushong SC']",,"['Department of Clinic Administration and Rehabilitation Counseling, Texas Tech University Health Sciences Center, School of Allied Health Sciences, Lubbock, Texas. Electronic address: robert.posteraro@ttuhsc.edu.', 'Baylor College of Medicine, Houston, Texas.']",['eng'],['Journal Article'],United States,J Am Coll Radiol,Journal of the American College of Radiology : JACR,101190326,IM,"['Asthenopia/*prevention & control', 'Humans', '*Radiology', '*Radiology Information Systems', 'Time Factors']",,,,2014/04/29 06:00,2015/08/01 06:00,['2014/04/29 06:00'],"['2014/01/06 00:00 [received]', '2014/01/15 00:00 [accepted]', '2014/04/29 06:00 [entrez]', '2014/04/29 06:00 [pubmed]', '2015/08/01 06:00 [medline]']","['S1546-1440(14)00014-3 [pii]', '10.1016/j.jacr.2014.01.008 [doi]']",ppublish,J Am Coll Radiol. 2014 Nov;11(11):1017-8. doi: 10.1016/j.jacr.2014.01.008. Epub 2014 Apr 24.,,,,,20140424,,,,,,,,,,,,,,,,,,
