PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,CI,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,RN,SB,MH,OTO,OT,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AUID,PMC,COIS,GR,CTDT,PB,BTI,OAB,OABL,PMCR,CON,CN,CIN,FIR,IR,SI,EIN,TT,MID,PS,FPS
36458569,NLM,MEDLINE,20230511,20230511,2044-8279 (Electronic) 0007-0998 (Print) 0007-0998 (Linking),93,2,2023 Jun,The challenges and experiences of academics supporting psychological capital among students at the emergence of COVID-19: A qualitative investigation of award-winning educators at a British university.,405-422,10.1111/bjep.12565 [doi],"BACKGROUND: Studies show that student mental health has continued to deteriorate over the years. Developing strengths-based approaches could aid educators in the development of Psychological Capital (PsyCap) and positive protective factors in students to support their mental well-being and aid in their success; however, little is known of the subject experience of educators who attempt this. AIMS: This study aims to understand the experience of award-winning educators; both in their attempts to cultivate positive protective factors in students and in challenges to the pursuit of that goal during the shifting academic landscape at the emergence of COVID-19. SAMPLE: Six award-winning educators from a British university. METHODS: Participants were interviewed over video calls in this research design using semi-structured interviews. Thematic analysis was used to analyse the data. RESULTS & DISCUSSION: The results showed two major themes; pressures for academics and strength-based approached to cultivating PsyCap. These themes reflected that educators saw an urgent need for students to develop resilience as they struggle to handle subjective failure and that students struggle with imposter syndrome. The educators identified the challenges as feeling taken for granted, having unmanageable workloads along high expectations placed on them. CONCLUSION: COVID-19 has added significantly to the workloads of educators and demonstrated students' need for resilience. This research identifies the experiences of educators trying to improve strengths-based practice while identifying the challenges of pursuing that goal in the changing pedagogy post-COVID-19.","['(c) 2022 The Authors. British Journal of Educational Psychology published by John', 'Wiley & Sons Ltd on behalf of British Psychological Society.']","['Morris, Roseanne', 'Hoelterhoff, Mark', 'Argyros, Georgios']","['Morris R', 'Hoelterhoff M', 'Argyros G']","['University of Edinburgh, Edinburgh, UK.', 'University of Edinburgh, Edinburgh, UK.', 'University of Edinburgh, Edinburgh, UK.']",['eng'],['Journal Article'],20221202,England,Br J Educ Psychol,The British journal of educational psychology,0370636,,IM,"['Humans', '*COVID-19', 'Universities', 'Students', 'Anxiety Disorders', '*Awards and Prizes']",['NOTNLM'],"['COVID-19 in academia', 'academia', 'higher education', 'psychological capital', 'strengths-based approach']",2022/12/03 06:00,2023/05/11 06:42,['2022/12/02 05:22'],"['2021/11/17 00:00 [received]', '2022/11/06 00:00 [accepted]', '2023/05/11 06:42 [medline]', '2022/12/03 06:00 [pubmed]', '2022/12/02 05:22 [entrez]']","['BJEP12565 [pii]', '10.1111/bjep.12565 [doi]']",ppublish,Br J Educ Psychol. 2023 Jun;93(2):405-422. doi: 10.1111/bjep.12565. Epub 2022 Dec 2.,"['ORCID: 0000-0002-8588-5711', 'ORCID: 0000-0002-3465-1421']",PMC9877583,['The authors declare that there is no conflict of interest.'],,,,,,,,,,,,,,,,,,
36457569,NLM,PubMed-not-MEDLINE,,20221203,2296-858X (Print) 2296-858X (Electronic) 2296-858X (Linking),9,,2022,Editorial: Insights in healthcare professions education: 2021.,1054572,10.3389/fmed.2022.1054572 [doi] 1054572,,,"['Monrouxe, Lynn V', 'Bloomfield, Jacqueline G']","['Monrouxe LV', 'Bloomfield JG']","['Faculty of Medicine and Health, The University of Sydney, Camperdown, NSW, Australia.', 'Faculty of Medicine and Health, The University of Sydney, Camperdown, NSW, Australia.']",['eng'],['Editorial'],20221115,Switzerland,Front Med (Lausanne),Frontiers in medicine,101648047,,,,['NOTNLM'],"['assessment', 'imposter syndrome', 'interprofessionalism education', 'knowledge synthesis', 'social media use', 'tolerance of uncertainty', 'transitions']",2022/12/03 06:00,2022/12/03 06:01,['2022/12/02 02:21'],"['2022/09/27 00:00 [received]', '2022/10/31 00:00 [accepted]', '2022/12/02 02:21 [entrez]', '2022/12/03 06:00 [pubmed]', '2022/12/03 06:01 [medline]']",['10.3389/fmed.2022.1054572 [doi]'],epublish,Front Med (Lausanne). 2022 Nov 15;9:1054572. doi: 10.3389/fmed.2022.1054572. eCollection 2022.,,PMC9706230,"['The authors declare that the research was conducted in the absence of any', 'commercial or financial relationships that could be construed as a potential', 'conflict of interest.']",,,,,,,,"['Editorial on the Research Topic Insights in healthcare professions education:', '2021']",,,,,,,,,,
36397022,NLM,MEDLINE,20221121,20221121,1472-6920 (Electronic) 1472-6920 (Linking),22,1,2022 Nov 17,Intervening on impostor phenomenon: prospective evaluation of a workshop for health science students using a mixed-method design.,802,10.1186/s12909-022-03824-7 [doi] 802,"BACKGROUND: Unaddressed impostor feelings that impede developing interest in science and self-efficacy in conducting research have a dispiriting effect that perpetuates unsatisfactory diversity in the health science workforce when such feelings are experienced more by those historically underrepresented in the workforce. This warrants effective interventions to reduce the impact of impostor feelings and related factors that diminish career resilience. We examined the effects of a 90-minute workshop on impostor perceptions and growth mindset to raise awareness of impostor phenomenon (IP) and develop skills to manage IP successfully for students attending a 10-week summer research experience program. METHODS: Using a convergent mixed-methods design, data were analyzed from 51 racially and ethnically diverse students who participated in an interactive IP workshop. Using students' half-way and final progress reports about their summer experiences and pre- and post-summer online surveys, we identified how the workshop changed awareness of IP and helped students develop coping strategies. RESULTS: Students strongly endorsed the workshop, remarking that its content and personal stories from peers validated their own IP experiences and relieved anxiety by revealing how common the experience was. Many reported applying mindset-changing solutions, including positive self-talk, focusing their thinking on facts about themselves and situation, and grounding themselves firmly against potentially persuasive and confidence-eroding impostor feelings. While students reported end-of-summer impostor feelings at levels similar to before the program, they described being able to manage their feelings better and persist towards goals and challenging tasks. One measure of IP appeared to be addressed through students' activation of a growth mindset, potentially explaining a specific mechanism for intervention. Discrepancies between qualitative responses and quantitative IP measures demand additional work on IP instruments. CONCLUSIONS: A brief, theory-based IP workshop administered by research training programs, including those as short as 10-weeks, can have positive impact on subsequent IP experience and its successful management, with potential long-term impact on retention of a diverse biomedical research workforce.",['(c) 2022. The Author(s).'],"['Chang, Shine', 'Lee, Hwa Young', 'Anderson, Cheryl', 'Lewis, Kava', 'Chakraverty, Devasmita', 'Yates, Melinda']","['Chang S', 'Lee HY', 'Anderson C', 'Lewis K', 'Chakraverty D', 'Yates M']","['Department of Epidemiology, Unit 1365, Division of Cancer Prevention and Population Sciences, The University of Texas MD Anderson Cancer Center, 1155 Pressler Street, Houston, TX, 77230-4009, USA. Shinechang@mdanderson.org.', 'Cancer Prevention Research Training Program, Division of Cancer Prevention and Population Sciences, The University of Texas MD Anderson Cancer Center, Houston, TX, USA. Shinechang@mdanderson.org.', 'Cancer Prevention Research Training Program, Division of Cancer Prevention and Population Sciences, The University of Texas MD Anderson Cancer Center, Houston, TX, USA.', 'Cancer Prevention Research Training Program, Division of Cancer Prevention and Population Sciences, The University of Texas MD Anderson Cancer Center, Houston, TX, USA.', 'Cancer Prevention Research Training Program, Division of Cancer Prevention and Population Sciences, The University of Texas MD Anderson Cancer Center, Houston, TX, USA.', 'Ravi J. Matthai Centre for Educational Innovation, Indian Institute of Management Ahmedabad, Ahmedabad, Gujarat, India.', 'Department of Gynecologic Oncology and Reproductive Medicine, Division of Surgery, The University of Texas MD Anderson Cancer Center, Houston, TX, USA.']",['eng'],['Journal Article'],20221117,England,BMC Med Educ,BMC medical education,101088679,['imposter syndrome'],IM,"['Humans', '*Self Concept', '*Students', 'Anxiety Disorders', 'Achievement']",['NOTNLM'],"['Growth mindset', 'Impostor phenomenon', 'Intervention', 'Mixed-method', 'Summer program']",2022/11/19 06:00,2022/11/22 06:00,['2022/11/18 00:08'],"['2022/05/06 00:00 [received]', '2022/10/13 00:00 [accepted]', '2022/11/18 00:08 [entrez]', '2022/11/19 06:00 [pubmed]', '2022/11/22 06:00 [medline]']","['10.1186/s12909-022-03824-7 [pii]', '3824 [pii]', '10.1186/s12909-022-03824-7 [doi]']",epublish,BMC Med Educ. 2022 Nov 17;22(1):802. doi: 10.1186/s12909-022-03824-7.,,PMC9673315,"['To our knowledge, no conflict of interest, financial or other, exists for any of', 'the authors on this manuscript.']","['CA056452/CA/NCI NIH HHS/United States', 'CA056452/CA/NCI NIH HHS/United States', 'CA056452/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,,,,,
36333010,NLM,MEDLINE,20221108,20221122,1942-5546 (Electronic) 0025-6196 (Linking),97,11,2022 Nov,The Imposter Syndrome in Physicians.,1964-1965,S0025-6196(22)00550-X [pii] 10.1016/j.mayocp.2022.09.014 [doi],,,"['Beckman, Thomas J']",['Beckman TJ'],"['Professor of Medicine and Medical Education, Mayo Clinic College of Medicine and Science, Department of Medicine, Mayo Clinic, Rochester, MN. Electronic address: Beckman.Thomas@mayo.edu.']",['eng'],"['Comment', 'Editorial']",,England,Mayo Clin Proc,Mayo Clinic proceedings,0405543,['imposter syndrome'],IM,"['Humans', '*Self Concept', '*Physicians', 'Anxiety Disorders']",,,2022/11/05 06:00,2022/11/09 06:00,['2022/11/04 22:03'],"['2022/09/22 00:00 [received]', '2022/09/22 00:00 [accepted]', '2022/11/04 22:03 [entrez]', '2022/11/05 06:00 [pubmed]', '2022/11/09 06:00 [medline]']","['S0025-6196(22)00550-X [pii]', '10.1016/j.mayocp.2022.09.014 [doi]']",ppublish,Mayo Clin Proc. 2022 Nov;97(11):1964-1965. doi: 10.1016/j.mayocp.2022.09.014.,,,,,,,,,,,['Mayo Clin Proc. 2022 Nov;97(11):1981-1993. PMID: 36116974'],,,,,,,,,,
36332917,NLM,MEDLINE,20230501,20230506,1553-6467 (Electronic) 0002-9459 (Print) 0002-9459 (Linking),87,4,2023 Apr,Impostor Phenomenon in Pharmacy Students as It Relates to Professional Identity Formation.,ajpe9175,10.5688/ajpe9175 [doi] ajpe9175,"This commentary describes the relationship between impostor phenomenon and professional identity formation and draws attention to validation theory in supporting student development. Student-level challenges are highlighted, and roles faculty members could play in actively encouraging professional identity formation and helping overcome impostor feelings are discussed.",['(c) 2023 American Association of Colleges of Pharmacy.'],"['Rivkin, Anastasia']",['Rivkin A'],"['Fairleigh Dickinson University School of Pharmacy and Health Sciences, Florham Park, New Jersey Rivkin@fdu.edu.']",['eng'],['Journal Article'],20221104,United States,Am J Pharm Educ,American journal of pharmaceutical education,0372650,['imposter syndrome'],IM,"['Humans', '*Students, Pharmacy', 'Social Identification', '*Education, Pharmacy', 'Self Concept']",['NOTNLM'],"['impostor phenomenon', 'impostor syndrome', 'professional identity formation']",2022/11/05 06:00,2023/05/01 06:42,['2022/11/04 20:32'],"['2021/06/05 00:00 [received]', '2022/06/29 00:00 [accepted]', '2023/05/01 06:42 [medline]', '2022/11/05 06:00 [pubmed]', '2022/11/04 20:32 [entrez]']","['ajpe9175 [pii]', '10.5688/ajpe9175 [doi]']",ppublish,Am J Pharm Educ. 2023 Apr;87(4):ajpe9175. doi: 10.5688/ajpe9175. Epub 2022 Nov 4.,,PMC10159035,,,,,,,,,,,,,,,,,,,
36301589,NLM,MEDLINE,20221108,20230129,1931-7913 (Electronic) 1931-7913 (Linking),21,4,2022 Dec,Faculty Experiences of the Impostor Phenomenon in STEM Fields.,ar84,10.1187/cbe.21-10-0307 [doi] ar84,"Successful people experiencing impostor phenomenon consider themselves less competent and less worthy of their positions or achievements. They attribute their success to luck, deceit, fraudulence, and others being kind to them instead of their own competence. Prior research has focused primarily on students in higher education; faculty experiences of impostor phenomenon in science, technology, engineering, and mathematics (STEM) fields are not well understood. The research question guiding this inquiry was: ""What kind of academic events or activities could contribute to faculty experiences of impostor phenomenon in STEM?"" Using a qualitative analysis of 56 interviews, this U.S.-based study examined occurrences and experiences among faculty who self-identified as experiencing impostor phenomenon. A prior survey from the same participants revealed that they were predominantly White and female, experiencing moderate, high, or intense impostor phenomenon. Thematic interview analysis revealed that impostor phenomenon could be related to the following: 1) peer comparison, 2) faculty evaluation, 3) public recognition, 4) the anticipatory fear of not knowing, and 5) a perceived lack of competency. A comparison with findings from the larger study revealed that there are commonalities among faculty, PhD student, and postdoctorate experiences of impostor phenomenon in STEM. This necessitates professional development opportunities that could address self-limiting beliefs across the academic pipeline.",,"['Chakraverty, Devasmita']",['Chakraverty D'],"['Ravi J. Matthai Centre for Educational Innovation, Indian Institute of Management Ahmedabad, Ahmedabad, Gujarat 380015, India.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,United States,CBE Life Sci Educ,CBE life sciences education,101269039,['imposter syndrome'],IM,"['Female', 'Humans', '*Faculty', 'Mathematics', '*Students', 'Technology', 'Male']",,,2022/10/28 06:00,2022/11/01 06:00,['2022/10/27 11:43'],"['2022/10/27 11:43 [entrez]', '2022/10/28 06:00 [pubmed]', '2022/11/01 06:00 [medline]']","['CBE.21-10-0307 [pii]', '10.1187/cbe.21-10-0307 [doi]']",ppublish,CBE Life Sci Educ. 2022 Dec;21(4):ar84. doi: 10.1187/cbe.21-10-0307.,,PMC9727619,,,,,,,,,,,,,,,,,,,
36286081,NLM,MEDLINE,20230223,20230303,1531-4995 (Electronic) 0023-852X (Linking),133,3,2023 Mar,Gender Disparities in Otolaryngology: A Case Report Reflecting Global Perspectives.,547-551,10.1002/lary.30455 [doi],"OBJECTIVES: To explore the impact of female sex on the experiences of trainees and surgeons in otolaryngology from LMIC and HIC. METHODS: This study includes perspectives of five consultants and two resident physicians from the United States, United Kingdom, Uganda, Kenya and South Africa. RESULTS: Six themes emerged from these interviews. Overall, LMIC and HIC women shared similar experiences of microaggressions during patients, working along ancillary staff, related to pregnancy, imposter syndrome, difficulties during job search, and unique barriers as consultant. CONCLUSIONS: The findings of this study highlight that gender disparities are present at all levels in Otolaryngology but can present differently depending on context. Laryngoscope, 133:547-551, 2023.","['(c) 2022 The American Laryngological, Rhinological and Otological Society, Inc.']","['Ali, Hawa M', 'Lee, Stellina Y H', 'Jashek-Ahmed, Farizeh', 'Seguya, Amina', 'Faucett, Erynne', 'Van Beck, Jenna', 'Stapleton, Emma', 'Peer, Shazia', 'Husain, Inna A', 'Wiedermann, Joshua', 'Salano, Valerie']","['Ali HM', 'Lee SYH', 'Jashek-Ahmed F', 'Seguya A', 'Faucett E', 'Van Beck J', 'Stapleton E', 'Peer S', 'Husain IA', 'Wiedermann J', 'Salano V']","['Department of Otolaryngology-Head and Neck Surgery, Mayo Clinic, Rochester, Minnesota, U.S.A.', ""Royal Brisbane and Women's Hospital, Brisbane, Queensland, Australia."", 'Department of Otolaryngology, Queens Hospital, Barking, Havering and Redbridge University Hospitals NHS Trust, Romford, United Kingdom.', 'Department of ENT Surgery, Mulago National Referral Hospital, Kampala, Uganda.', ""Department of Otolaryngology-Head and Neck Surgery, Phoenix Children's Hospital, Phoenix, Arizona, U.S.A."", ""The William's Center, Latham, New York, U.S.A."", 'Department of Otolaryngology, Manchester University, Machester, United Kingdom.', ""Department of Otolaryngology-Head and Neck Surgery, Red Cross War Memorial Children's Hospital, Cape Town, South Africa."", 'Department of Otorrhinolaryngology, Head and Neck Surgery, Rush University Medical Center, Chicago, Illinois, U.S.A.', 'Department of Otolaryngology-Head and Neck Surgery, Mayo Clinic, Rochester, Minnesota, U.S.A.', 'Department of Otolaryngology, Nyahururu County Hospital, Nyahururu, Kenya.']",['eng'],['Case Reports'],20221026,United States,Laryngoscope,The Laryngoscope,8607378,,IM,"['Pregnancy', 'Humans', 'Female', 'United States', '*Surgeons', '*Otolaryngology', 'United Kingdom', 'Kenya']",['NOTNLM'],"['disparities', 'equity', 'gender', 'global surgery', 'representation']",2022/10/27 06:00,2023/02/25 06:00,['2022/10/26 07:32'],"['2022/09/05 00:00 [received]', '2022/10/03 00:00 [accepted]', '2022/10/27 06:00 [pubmed]', '2023/02/25 06:00 [medline]', '2022/10/26 07:32 [entrez]']",['10.1002/lary.30455 [doi]'],ppublish,Laryngoscope. 2023 Mar;133(3):547-551. doi: 10.1002/lary.30455. Epub 2022 Oct 26.,"['ORCID: 0000-0002-6197-8593', 'ORCID: 0000-0002-9486-4920', 'ORCID: 0000-0003-1653-7753', 'ORCID: 0000-0003-1461-0195', 'ORCID: 0000-0002-7763-9705']",,,,,,,,,,,['Global OHNS'],,,,,,,,,
36222832,NLM,MEDLINE,20221222,20230308,1479-6813 (Electronic) 0952-5041 (Linking),70,1,2023 Jan 1,Embarking on an adventure of early career academic leadership.,,e220049 [pii] 10.1530/JME-22-0049 [doi],"Leading a research group as an early career researcher (ECR) in academia presents many challenges. First, it imposes many additional pressures on individuals, causing fear of missing out on a great opportunity that could advance your career. Together, the unsettling nature of short-term or temporary contracts, lack of guidance and the imposter syndrome can trigger a crisis in future leadership. Most leadership positions at universities are held by senior colleagues. ECRs have modest input in decision-making, due to a requirement for specific leadership training and experience with oversight that precedes suitable decision-making. The turbulence of the unprecedented world COVID-19 crisis has been felt disproportionally by many researchers, intensely by those with caring responsibilities. In the current academic climate, navigating either between your postdoctoral or fellowship project, leading others, taking strategic project directions, mentoring or networking may feel like too much. This editorial expresses views on the current state of the matter in academia with suggestions for helpful strategies to employ to meet research endpoints. It also addresses some challenges that new principal investigators and academic leaders may face due to external or institutional change, and provides some tangible advice with action points.",,"['Mitic, Tijana']",['Mitic T'],"[""University/British Heart Foundation Centre for Cardiovascular Science, Queen's Medical Research Institute, University of Edinburgh, Edinburgh, UK.""]",['eng'],"['Editorial', ""Research Support, Non-U.S. Gov't""]",20221207,England,J Mol Endocrinol,Journal of molecular endocrinology,8902617,,IM,"['Humans', '*COVID-19', '*Leadership', 'Career Mobility', 'Pandemics', '*Research Personnel']",['NOTNLM'],"['COVID-19 pandemic', 'career progression', 'early career researchers', 'leadership in crisis', 'research in academia']",2022/10/13 06:00,2022/12/15 06:00,['2022/10/12 11:02'],"['2022/09/06 00:00 [received]', '2022/10/03 00:00 [accepted]', '2022/10/13 06:00 [pubmed]', '2022/12/15 06:00 [medline]', '2022/10/12 11:02 [entrez]']","['JME-22-0049 [pii]', '10.1530/JME-22-0049 [doi]']",epublish,J Mol Endocrinol. 2022 Dec 7;70(1):e220049. doi: 10.1530/JME-22-0049. Print 2023 Jan 1.,['ORCID: 0000-0002-6852-8982'],,,"['FS/16/38/32351/BHF_/British Heart Foundation/United Kingdom', '195CVS/R45927/3102/BHF_/British Heart Foundation/United Kingdom', '195ABR/J22739/WT_/Wellcome Trust/United Kingdom']",,,,,,,,,,,,,,,,,
36201457,NLM,Publisher,,20230202,1938-808X (Electronic) 1040-2446 (Linking),,,2022 Sep 13,Star Wars Legos Helped Me Overcome Imposter Syndrome.,,10.1097/ACM.0000000000004975 [doi],,,"['Waldron, Ally']",['Waldron A'],"['Medical student, Oregon Health and Science University, Portland, Oregon; email: waldroal@ohsu.edu .']",['eng'],['Journal Article'],20220913,United States,Acad Med,Academic medicine : journal of the Association of American Medical Colleges,8904605,,IM,,,,2022/10/07 06:00,2022/10/07 06:00,['2022/10/06 13:35'],"['2022/10/07 06:00 [pubmed]', '2022/10/07 06:00 [medline]', '2022/10/06 13:35 [entrez]']","['00001888-990000000-00193 [pii]', '10.1097/ACM.0000000000004975 [doi]']",aheadofprint,Acad Med. 2022 Sep 13. doi: 10.1097/ACM.0000000000004975.,,,,,,,,,,,,,,,,,,,,,
36198053,NLM,MEDLINE,20221129,20221202,1943-569X (Electronic) 0003-1488 (Linking),260,15,2022 Oct 4,"A qualitative study of the roles, motivations, and challenges of academic veterinary technicians.",1979-1985,10.2460/javma.22.06.0256 [doi],"OBJECTIVE: A qualitative study based on one-on-one interviews was conducted to better understand the role of the academic veterinary technician (AVT) and identify the motivations and challenges that AVTs face during their academic careers. SAMPLE: 34 AVTs from 12 accredited US colleges of veterinary medicine. PROCEDURES: Virtual, semi-structured interviews were conducted between July and December 2020. Transcripts were analyzed using discourse analysis within the context of social identity theory. RESULTS: Five themes and seven accompanying sub-themes emerged: one title but many roles and responsibilities (professional/work; other obligations); workplace culture (belonging/inclusivity, administrative/policies); unique challenges of being in the ivory tower (impostor syndrome, educator role, technical skills for academia); entry into the profession and career progression; and motivation. CLINICAL RELEVANCE: AVTs have great passion for and dedication to their profession. Overwhelmingly, they want their voices to be heard and their skillsets to be both utilized and respected. Recognition of and consideration for the themes uncovered in this study may help to better support and retain technicians in their academic career paths.",,"['Loy, Melissa', 'Simons, Micha C', 'Raghavan, Malathi', 'Bhatka, Heather', 'Price, Bonnie', 'Foltz, Kelly', 'Fogelberg, Katherine']","['Loy M', 'Simons MC', 'Raghavan M', 'Bhatka H', 'Price B', 'Foltz K', 'Fogelberg K']","['1College of Veterinary Medicine, Lincoln Memorial University, Harrogate, TN.', '1College of Veterinary Medicine, Lincoln Memorial University, Harrogate, TN.', '2Department of Veterinary Administration, College of Veterinary Medicine, Purdue University, West Lafayette, IN.', '3School of Allied Health Sciences, Lincoln Memorial University, Harrogate, TN.', '1College of Veterinary Medicine, Lincoln Memorial University, Harrogate, TN.', '4BluePearl Specialty and Pet Hospital, Tampa, FL.', '1College of Veterinary Medicine, Lincoln Memorial University, Harrogate, TN.']",['eng'],['Journal Article'],20221004,United States,J Am Vet Med Assoc,Journal of the American Veterinary Medical Association,7503067,['imposter syndrome'],IM,"['Animals', 'Humans', '*Motivation', 'Career Choice', '*Animal Technicians', 'Anxiety Disorders']",,,2022/10/06 06:00,2022/11/30 06:00,['2022/10/05 14:33'],"['2022/10/06 06:00 [pubmed]', '2022/11/30 06:00 [medline]', '2022/10/05 14:33 [entrez]']",['10.2460/javma.22.06.0256 [doi]'],epublish,J Am Vet Med Assoc. 2022 Oct 4;260(15):1979-1985. doi: 10.2460/javma.22.06.0256.,,,,,,,,,,,,,,,,,,,,,
36166271,NLM,MEDLINE,20230322,20230519,1528-1132 (Electronic) 0009-921X (Print) 0009-921X (Linking),481,4,2023 Apr 1,CORR Insights(R): Imposter Syndrome Among Surgeons is Associated With Intolerance of Uncertainty and Lower Confidence in Problem Solving.,672-674,10.1097/CORR.0000000000002427 [doi],,,"['Friedlaender, Gary E']",['Friedlaender GE'],"['Orthopaedic Surgeon, Department of Orthopaedics and Rehabilitation, Yale University School of Medicine, New Haven, CT, USA.']",['eng'],"['Comment', 'Journal Article']",20220926,United States,Clin Orthop Relat Res,Clinical orthopaedics and related research,0075674,['imposter syndrome'],IM,"['Humans', 'Uncertainty', '*Problem Solving', 'Anxiety Disorders', '*Surgeons']",,,2022/09/28 06:00,2023/03/23 06:00,['2022/09/27 12:04'],"['2022/09/01 00:00 [received]', '2022/09/07 00:00 [accepted]', '2024/04/01 00:00 [pmc-release]', '2022/09/28 06:00 [pubmed]', '2023/03/23 06:00 [medline]', '2022/09/27 12:04 [entrez]']","['00003086-202304000-00009 [pii]', 'CORR-D-22-01060 [pii]', '10.1097/CORR.0000000000002427 [doi]']",ppublish,Clin Orthop Relat Res. 2023 Apr 1;481(4):672-674. doi: 10.1097/CORR.0000000000002427. Epub 2022 Sep 26.,,PMC10013620,"['The author certifies that there are no funding or commercial associations', '(consultancies, stock ownership, equity interest, patent/licensing arrangements,', 'etc.) that might pose a conflict of interest in connection with the submitted', 'article related to the author or any immediate family members. All ICMJE Conflict', 'of Interest Forms for authors and Clinical Orthopaedics and Related Research(R)', 'editors and board members are on file with the publication and can be viewed on', 'request.']",,,,,,,['2024/04/01'],['Clin Orthop Relat Res. 2023 Apr 1;481(4):664-671. PMID: 36073997'],,,,,,,,,,
36116974,NLM,MEDLINE,20221108,20221122,1942-5546 (Electronic) 0025-6196 (Linking),97,11,2022 Nov,Imposter Phenomenon in US Physicians Relative to the US Working Population.,1981-1993,S0025-6196(22)00378-0 [pii] 10.1016/j.mayocp.2022.06.021 [doi],"OBJECTIVE: To determine the prevalence of imposter phenomenon (IP) experiences among physicians and evaluate their relationship to personal and professional characteristics, professional fulfillment, burnout, and suicidal ideation. PARTICIPANTS AND METHODS: Between November 20, 2020, and February 16, 2021, we surveyed US physicians and a probability-based sample of the US working population. Imposter phenomenon was measured using a 4-item version of the Clance Imposter Phenomenon Scale. Burnout and professional fulfillment were measured using standardized instruments. RESULTS: Among the 3237 physician responders invited to complete the subsurvey including the IP scale, 3116 completed the IP questions. Between 4% (133) and 10% (308) of the 3116 physicians endorsed each of the 4 IP items as a ""very true"" characterization of their experience. Relative to those with a low IP score, the odds ratio for burnout among those with moderate, frequent, and intense IP was 1.28 (95% CI, 1.04 to 1.58), 1.79 (95% CI, 1.38 to 2.32), and 2.13 (95% CI, 1.43 to 3.19), respectively. A similar association between IP and suicidal ideation was observed. On multivariable analysis, physicians endorsed greater intensity of IP than workers in other fields in response to the item, ""I am disappointed at times in my present accomplishments and think I should have accomplished more."" CONCLUSION: Imposter phenomenon experiences are common among US physicians, and physicians have more frequent experiences of disappointment in accomplishments than workers in other fields. Imposter phenomenon experiences are associated with increased burnout and suicidal ideation and lower professional fulfillment. Systematic efforts to address the professional norms and perfectionistic attitudes that contribute to this phenomenon are necessary.","['Copyright (c) 2022 Mayo Foundation for Medical Education and Research. Published by', 'Elsevier Inc. All rights reserved.']","['Shanafelt, Tait D', 'Dyrbye, Lotte N', 'Sinsky, Christine', 'Trockel, Mickey', 'Makowski, Maryam S', 'Tutty, Michael', 'Wang, Hanhan', 'Carlasare, Lindsey E', 'West, Colin P']","['Shanafelt TD', 'Dyrbye LN', 'Sinsky C', 'Trockel M', 'Makowski MS', 'Tutty M', 'Wang H', 'Carlasare LE', 'West CP']","['Stanford University, Palo Alto, CA. Electronic address: tshana@stanford.edu.', 'University of Colorado, Denver.', 'American Medical Association, Chicago, IL.', 'Stanford University, Palo Alto, CA.', 'Stanford University, Palo Alto, CA.', 'American Medical Association, Chicago, IL.', 'Stanford University, Palo Alto, CA.', 'American Medical Association, Chicago, IL.', 'Mayo Clinic, Rochester, MN.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20220915,England,Mayo Clin Proc,Mayo Clinic proceedings,0405543,['imposter syndrome'],IM,"['Humans', '*Burnout, Professional/epidemiology', '*Physicians', 'Anxiety Disorders', 'Surveys and Questionnaires']",,,2022/09/19 06:00,2022/11/09 06:00,['2022/09/18 22:03'],"['2022/03/19 00:00 [received]', '2022/06/12 00:00 [revised]', '2022/06/20 00:00 [accepted]', '2022/09/19 06:00 [pubmed]', '2022/11/09 06:00 [medline]', '2022/09/18 22:03 [entrez]']","['S0025-6196(22)00378-0 [pii]', '10.1016/j.mayocp.2022.06.021 [doi]']",ppublish,Mayo Clin Proc. 2022 Nov;97(11):1981-1993. doi: 10.1016/j.mayocp.2022.06.021. Epub 2022 Sep 15.,,,,,,,,,,,,,['Mayo Clin Proc. 2022 Nov;97(11):1964-1965. PMID: 36333010'],,,,,,,,
